ID,Segment,SegmentDescription
1,Corporate,An organization—usually a group of people or a company—authorized by the state to act as a single entity (a legal entity; a legal person in legal context) and recognized as such in law for certain purposes.
2,Home Office,"a working room or study in a domestic dwelling. This setting can be refered to as ""Single Office"" or ""Home Office""  (SOHO)"
3,Consumer,"A consumer is a person or a group who intends to order, orders, or uses purchased goods, products, or services primarily for personal, social, family, household and similar needs, not directly related to entrepreneurial or business activities."
4,Small Business,"Small businesses are privately owned corporations, partnerships, or sole proprietorships that have fewer employees and/or less annual revenue than a regular-sized business or corporation."
